m1,p
http://dbpedia.org/resource/Codemasters,http://dbpedia.org/resource/David_Darling_(entrepreneur)
http://dbpedia.org/resource/First_Manhattan_Co.,http://dbpedia.org/resource/David_Gottesman
http://dbpedia.org/resource/Plymouth_Rock_Studios,http://dbpedia.org/resource/David_Kirkpatrick_(producer)
http://dbpedia.org/resource/IM_Global,http://dbpedia.org/resource/David_Schulhof
http://dbpedia.org/resource/GetGo,http://dbpedia.org/resource/David_Shapira
http://dbpedia.org/resource/Giant_Eagle,http://dbpedia.org/resource/David_Shapira
http://dbpedia.org/resource/Phar-Mor,http://dbpedia.org/resource/David_Shapira
http://dbpedia.org/resource/World_Alliance_for_Breastfeeding_Action,http://dbpedia.org/resource/Derrick_and_Patrice_Jelliffe
http://dbpedia.org/resource/Ginebra_San_Miguel,http://dbpedia.org/resource/Eduardo_Cojuangco,_Jr.
http://dbpedia.org/resource/San_Miguel_Corporation,http://dbpedia.org/resource/Eduardo_Cojuangco,_Jr.
http://dbpedia.org/resource/Petron_Corporation,http://dbpedia.org/resource/Eduardo_Cojuangco,_Jr.
http://dbpedia.org/resource/San_Miguel_Pure_Foods_Company,http://dbpedia.org/resource/Eduardo_Cojuangco,_Jr.
http://dbpedia.org/resource/EBX_Group,http://dbpedia.org/resource/Eike_Batista
http://dbpedia.org/resource/MMX_Mineração,http://dbpedia.org/resource/Eike_Batista
http://dbpedia.org/resource/Ocean_Power_Technologies,http://dbpedia.org/resource/Executive_Vice_Chairman
http://dbpedia.org/resource/Muntz_Car_Company,http://dbpedia.org/resource/Frank_Kurtis
http://dbpedia.org/resource/Columbia_Center_for_New_Media_Teaching_and_Learning,http://dbpedia.org/resource/Frank_Moretti
http://dbpedia.org/resource/Spaceship_Earth_Grants,http://dbpedia.org/resource/Frank_White_(writer)
http://dbpedia.org/resource/Voisin,http://dbpedia.org/resource/Gabriel_Voisin
http://dbpedia.org/resource/Achievement_Hunter,http://dbpedia.org/resource/Gavin_Free
http://dbpedia.org/resource/USAA,http://dbpedia.org/resource/General
http://dbpedia.org/resource/SELCO_India,http://dbpedia.org/resource/Harish_Hande
http://dbpedia.org/resource/Hindustan_Unilever,http://dbpedia.org/resource/Harish_Manwani
http://dbpedia.org/resource/C._Hoare_&_Co,http://dbpedia.org/resource/Henry_Hoare
http://dbpedia.org/resource/Kojima_Productions,http://dbpedia.org/resource/Hideo_Kojima
http://dbpedia.org/resource/Mandhu_College,http://dbpedia.org/resource/Ibrahim_Ismail
http://dbpedia.org/resource/Brighterion,http://dbpedia.org/resource/Interpol
http://dbpedia.org/resource/Independent_News,http://dbpedia.org/resource/Jack_Liebowitz
http://dbpedia.org/resource/Bank_of_the_Philippine_Islands,http://dbpedia.org/resource/Jaime_Augusto_Zobel_de_Ayala
http://dbpedia.org/resource/Ayala_Corporation,http://dbpedia.org/resource/Jaime_Augusto_Zobel_de_Ayala
http://dbpedia.org/resource/Alcove_Entertainment,http://dbpedia.org/resource/James_Fox
http://dbpedia.org/resource/Renaissance_Technologies,http://dbpedia.org/resource/James_Harris_Simons
http://dbpedia.org/resource/Bank_One_Corporation,http://dbpedia.org/resource/Jamie_Dimon
http://dbpedia.org/resource/JPMorgan_Chase,http://dbpedia.org/resource/Jamie_Dimon
http://dbpedia.org/resource/4mm_Games,http://dbpedia.org/resource/Jamie_King
http://dbpedia.org/resource/Godrej_&_Boyce,http://dbpedia.org/resource/Jamshyd_Godrej
http://dbpedia.org/resource/Godrej_Industries_Ltd,http://dbpedia.org/resource/Jamshyd_Godrej
http://dbpedia.org/resource/Godrej_Group,http://dbpedia.org/resource/Jamshyd_Godrej
http://dbpedia.org/resource/Trinity_Broadcasting_Network,http://dbpedia.org/resource/Jan_Crouch
http://dbpedia.org/resource/Tomra,http://dbpedia.org/resource/Jan_Svensson
http://dbpedia.org/resource/Rocawear,http://dbpedia.org/resource/Jay-Z
http://dbpedia.org/resource/Crescent_cymbals,http://dbpedia.org/resource/Jeff_Hamilton_(drummer)
http://dbpedia.org/resource/CastAR,http://dbpedia.org/resource/Jeri_Ellsworth
http://dbpedia.org/resource/Weintraub_Entertainment_Group,http://dbpedia.org/resource/Jerry_Weintraub
http://dbpedia.org/resource/Xstream_Pictures,http://dbpedia.org/resource/Jia_Zhangke
http://dbpedia.org/resource/Manhasset_Stable,http://dbpedia.org/resource/Joan_Whitney_Payson
http://dbpedia.org/resource/Greentree_Stable,http://dbpedia.org/resource/Joan_Whitney_Payson
http://dbpedia.org/resource/People_TV,http://dbpedia.org/resource/John_Brittas
http://dbpedia.org/resource/Menards,http://dbpedia.org/resource/John_Menard,_Jr.
http://dbpedia.org/resource/AP_Films,http://dbpedia.org/resource/John_Read_(producer)
http://dbpedia.org/resource/Centre_for_the_Advancement_of_Sustainable_Medical_Innovation,http://dbpedia.org/resource/John_Tooke
http://dbpedia.org/resource/OQO,http://dbpedia.org/resource/Jonathan_Betts-LaCroix
http://dbpedia.org/resource/Grupo_Omnilife,http://dbpedia.org/resource/Jorge_Vergara
http://dbpedia.org/resource/Disney_Cruise_Line,http://dbpedia.org/resource/Karl_Holz_(executive)
http://dbpedia.org/resource/Rockwell_Automation,http://dbpedia.org/resource/Keith_Nosbusch
http://dbpedia.org/resource/TeleTech,http://dbpedia.org/resource/Kenneth_D._Tuchman
http://dbpedia.org/resource/Feld_Entertainment,http://dbpedia.org/resource/Kenneth_Feld
http://dbpedia.org/resource/Merck_&_Co.,http://dbpedia.org/resource/Kenneth_Frazier
http://dbpedia.org/resource/NPR_controversies,http://dbpedia.org/resource/Kevin_Klose
http://dbpedia.org/resource/Grezzo,http://dbpedia.org/resource/Koichi_Ishii
http://dbpedia.org/resource/Electronic_Arts,http://dbpedia.org/resource/Larry_Probst
http://dbpedia.org/resource/First_Somali_Bank,http://dbpedia.org/resource/Liban_Abdi_Egal
http://dbpedia.org/resource/Regal_Entertainment,http://dbpedia.org/resource/Lily_Monteverde
http://dbpedia.org/resource/Citroën,http://dbpedia.org/resource/Linda_Jackson_(businesswoman)
http://dbpedia.org/resource/Upper_Clyde_Shipbuilders,http://dbpedia.org/resource/Liquidator_(law)
http://dbpedia.org/resource/Revelations_Entertainment,http://dbpedia.org/resource/Lori_McCreary
http://dbpedia.org/resource/ClickStar,http://dbpedia.org/resource/Lori_McCreary
http://dbpedia.org/resource/Digiboo,http://dbpedia.org/resource/Lori_McCreary
http://dbpedia.org/resource/Societas_eruditorum_incognitorum_in_terris_Austriacis,http://dbpedia.org/resource/Ludovico_Antonio_Muratori
http://dbpedia.org/resource/Sumanth_Art_Productions,http://dbpedia.org/resource/M._S._Raju
http://dbpedia.org/resource/Vita_Craft_Corporation,http://dbpedia.org/resource/Mamoru_Imura
http://dbpedia.org/resource/True_North_Sports_&_Entertainment,http://dbpedia.org/resource/Mark_Chipman
http://dbpedia.org/resource/Banas_Dairy,http://dbpedia.org/resource/Mavjibhai_Desai
http://dbpedia.org/resource/Malin_Space_Science_Systems,http://dbpedia.org/resource/Michael_C._Malin
http://dbpedia.org/resource/Cortus,http://dbpedia.org/resource/Michael_Chapman
http://dbpedia.org/resource/Embassy_Row_(production_company),http://dbpedia.org/resource/Michael_Davies_(television_producer)
http://dbpedia.org/resource/Lachasse,http://dbpedia.org/resource/Michael_Donnellan_(fashion_designer)
http://dbpedia.org/resource/Sequoia_Capital,http://dbpedia.org/resource/Michael_Moritz
